model_name,target,loss,r2,split,extract_layer,base_target,bin_num,bin_method,800_id,400_id,200_id,MAE,MAD,MADMAE
hk_co2->hk_n2_50_extract0,hk_n2,0.1945999264717102,0.800736580490871,0.5,0,hk_co2,,,634,295,146,0.12394298131583775,0.29849026706545106,2.4082869711260466
hk_co2->hk_n2_30_extract0,hk_n2,0.190959021449089,0.803589551791952,0.3,0,hk_co2,,,630,293,142,0.12246356681153309,0.29849026706545106,2.437380151803161
hk_co2->hk_n2_10_extract0,hk_n2,0.2216369807720184,0.7723132668321411,0.1,0,hk_co2,,,611,276,127,0.13171452735813924,0.29849026706545106,2.266190928612143
hk_co2->hk_n2_5_extract0,hk_n2,0.2602642476558685,0.7508274264862009,0.05,0,hk_co2,,,598,269,126,0.13783240085341175,0.29849026706545106,2.1656030455633073
hk_co2->hk_n2_3_extract0,hk_n2,0.2856733202934265,0.7164239213103564,0.03,0,hk_co2,,,599,267,124,0.148069290873465,0.29849026706545106,2.0158823298514394
hk_co2->hk_n2_1_extract0,hk_n2,0.3431732058525085,0.6641150667531162,0.01,0,hk_co2,,,553,240,101,0.163140191585776,0.29849026706545106,1.8296549989553652
hk_co2->hk_nh3_100_extract0,hk_nh3,0.2121963649988174,0.7880827702266273,1.0,0,hk_co2,,,607,263,108,0.976972142426449,2.160383469599427,2.2113050882226872
hk_co2->hk_nh3_50_extract0,hk_nh3,0.2259801179170608,0.775978923109611,0.5,0,hk_co2,,,609,256,111,0.9682727309515409,2.160383469599427,2.231172479138574
hk_co2->hk_nh3_30_extract0,hk_nh3,0.2262830287218094,0.7708246921750589,0.3,0,hk_co2,,,590,258,105,0.95790845270261,2.160383469599427,2.2553130870744433
hk_co2->hk_nh3_10_extract0,hk_nh3,0.2434106022119522,0.7512228687256133,0.1,0,hk_co2,,,570,245,107,0.9602791634862418,2.160383469599427,2.2497452321638125
hk_co2->hk_nh3_5_extract0,hk_nh3,0.3124074935913086,0.7191184536729402,0.05,0,hk_co2,,,552,243,98,1.0463845793450732,2.160383469599427,2.0646170750639308
hk_co2->hk_nh3_3_extract0,hk_nh3,0.3196151554584503,0.6814783659284628,0.03,0,hk_co2,,,543,232,92,1.1073481038333763,2.160383469599427,1.9509524259992788
hk_co2->hk_nh3_1_extract0,hk_nh3,0.2961234152317047,0.6916995850240536,0.01,0,hk_co2,,,533,233,98,1.0821174987907114,2.160383469599427,1.9964407488222857
hk_co2->hk_h2o_100_extract1,hk_h2o,0.3254565298557281,0.679836519076727,1.0,1,hk_co2,,,566,249,118,1.5039123716226117,2.724305765085555,1.811479057218093
hk_co2->hk_h2o_50_extract1,hk_h2o,0.3460838496685028,0.6584203123820218,0.5,1,hk_co2,,,553,237,113,1.5867996601824979,2.724305765085555,1.7168555259031457
hk_co2->hk_h2o_30_extract1,hk_h2o,0.3776361048221588,0.6310898773384399,0.3,1,hk_co2,,,533,217,100,1.6383761547626352,2.724305765085555,1.662808480925583
hk_co2->hk_h2o_10_extract1,hk_h2o,0.4090936183929443,0.5968458070673547,0.1,1,hk_co2,,,507,205,97,1.7015284354195817,2.724305765085555,1.601093292580659
hk_co2->hk_h2o_5_extract1,hk_h2o,0.4905708134174347,0.5569526808599783,0.05,1,hk_co2,,,470,199,90,1.7662823245734396,2.724305765085555,1.5423954184354305
hk_co2->hk_h2o_3_extract1,hk_h2o,0.4680178165435791,0.5340164327552277,0.03,1,hk_co2,,,480,196,89,1.8195097164388092,2.724305765085555,1.4972746451816898
hk_co2->hk_h2o_1_extract1,hk_h2o,0.471513420343399,0.5021896496795772,0.01,1,hk_co2,,,443,188,84,1.901200928521168,2.724305765085555,1.4329394248742724
hk_co2->hk_n2_100_extract1,hk_n2,0.3823223114013672,0.6134921813802019,1.0,1,hk_co2,,,550,253,110,0.17957802325906785,0.29849026706545106,1.6621759258082194
hk_co2->hk_n2_50_extract1,hk_n2,0.4018120169639587,0.5885586506110232,0.5,1,hk_co2,,,536,227,108,0.1836289448775105,0.29849026706545106,1.6255077175581372
hk_co2->hk_n2_30_extract1,hk_n2,0.3838924467563629,0.6051484450401566,0.3,1,hk_co2,,,531,235,102,0.17854436760352402,0.29849026706545106,1.671798842337492
hk_co2->hk_n2_10_extract1,hk_n2,0.4511254131793976,0.53656082942292,0.1,1,hk_co2,,,483,213,89,0.19316580859588375,0.29849026706545106,1.5452541484187472
hk_co2->hk_n2_5_extract1,hk_n2,0.5381837487220764,0.484751933540531,0.05,1,hk_co2,,,472,203,86,0.20547502231595,0.29849026706545106,1.4526839501030717
hk_co2->hk_n2_3_extract1,hk_n2,0.534283459186554,0.4696386509222062,0.03,1,hk_co2,,,444,190,80,0.2075095996735782,0.29849026706545106,1.4384407638730423
hk_co2->hk_n2_1_extract1,hk_n2,0.6209902763366699,0.3921977779341414,0.01,1,hk_co2,,,403,180,68,0.2241673738068111,0.29849026706545106,1.331550894300488
hk_co2->hk_nh3_100_extract1,hk_nh3,0.3019814193248749,0.6984156450253703,1.0,1,hk_co2,,,508,225,103,1.0744028401326398,2.160383469599427,2.010776022644093
hk_co2->hk_nh3_50_extract1,hk_nh3,0.3283236622810364,0.6745227827144709,0.5,1,hk_co2,,,498,223,102,1.1388735140009527,2.160383469599427,1.8969476794748075
hk_co2->hk_nh3_30_extract1,hk_nh3,0.3373631536960602,0.6583247922202249,0.3,1,hk_co2,,,487,218,97,1.1696719662599977,2.160383469599427,1.8469994425079785
hk_co2->hk_nh3_10_extract1,hk_nh3,0.357640266418457,0.634474735557035,0.1,1,hk_co2,,,468,214,91,1.2213826606036242,2.160383469599427,1.7688014897245516
hk_co2->hk_nh3_5_extract1,hk_nh3,0.4434936940670013,0.6012607548286215,0.05,1,hk_co2,,,443,206,92,1.2617307580085615,2.160383469599427,1.7122380950823801
hk_co2->hk_nh3_3_extract1,hk_nh3,0.4282537400722503,0.5732114431320912,0.03,1,hk_co2,,,446,207,92,1.2917705913759863,2.160383469599427,1.6724203848751498
hk_co2->hk_nh3_1_extract1,hk_nh3,0.4196818172931671,0.5630605183883497,0.01,1,hk_co2,,,437,199,92,1.3860547859338654,2.160383469599427,1.5586566213137465
hk_co2->hk_h2o_100_extract2,hk_h2o,0.483297199010849,0.5245632254846623,1.0,2,hk_co2,,,442,207,85,1.8515597334768896,2.724305765085555,1.4713572108040007
hk_co2->hk_h2o_50_extract2,hk_h2o,0.4629392921924591,0.5430855762326126,0.5,2,hk_co2,,,431,201,84,1.818231327657606,2.724305765085555,1.4983273710255713
